Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
ALG14	hPromoter	K562 & Hela	RWDD3	hPromoter		
ALG2	hPromoter	Hela	MRPL50	hPromoter		
ALG2	hPromoter	Hela	ZNF189	hPromoter		
ALG3	EPromoter(Hela)	Hela	PSMD2	EPromoter(Hela)		
ALG3	EPromoter(Hela)	Hela	EIF2B5	hPromoter		
ALG3	EPromoter(Hela)	Hela	PARL	hPromoter		
ALG3	EPromoter(Hela)	Hela	HIST1H3B	hPromoter		
ALG8	hPromoter	Hela	ZNF225	hPromoter		
ALG8	hPromoter	Hela	FAM126A	hPromoter		
ALG8	hPromoter	Hela	KCTD21	hPromoter		
ALG8	hPromoter	Hela	USP35	hPromoter		
ALG8	hPromoter	Hela	INTS4	hPromoter		
ALG9	hPromoter	Hela	THOP1	hPromoter		
ALG9	hPromoter	K562	BCO2	hPromoter		
ALKBH2	hPromoter	Hela	MAX	hPromoter		
ALKBH2	hPromoter	K562	USP30	hPromoter		
ALKBH5	hPromoter	Hela	FLII	hPromoter		
ALKBH6	hPromoter	Hela	WDR62	hPromoter		
ALKBH6	hPromoter	Hela	THAP8	hPromoter		
ALLC	hPromoter	Hela	RNASEH1	EPromoter(Hela)		
ALYREF	hPromoter	Hela	PCYT2	hPromoter		
AMD1	hPromoter	Hela	GTF3C6	EPromoter(K562)		
AMD1	hPromoter	K562 & Hela	AMD1	hPromoter		
AMD1	hPromoter	K562 & Hela	CDK19	hPromoter		
AMDHD2	hPromoter	Hela	PLAUR	hPromoter		
AMFR	hPromoter	Hela	NUDT21	hPromoter		
AMFR	hPromoter	Hela	OGFOD1	hPromoter		
AMIGO2	hPromoter	Hela	DLX1	hPromoter		
AMIGO2	hPromoter	Hela	PDZK1	hPromoter		
AMOTL2	hPromoter	Hela	CEP63	hPromoter		
AMOTL2	hPromoter	Hela	ANAPC13	hPromoter		
AMPD2	hPromoter	K562 & Hela	GNAI3	hPromoter		
AMT	hPromoter	Hela	NICN1	hPromoter		
ANAPC13	hPromoter	Hela	AMOTL2	hPromoter		
ANAPC15	hPromoter	Hela	BAZ2B	EPromoter(K562)		
ANAPC15	hPromoter	Hela	TTC9C	EPromoter(Hela)		
ANAPC15	hPromoter	Hela	LRTOMT	hPromoter		
ANAPC15	hPromoter	Hela	LAMTOR1	hPromoter		
ANAPC16	hPromoter	Hela	DDIT4	hPromoter		
ANAPC2	hPromoter	Hela	TPRN	hPromoter		
ANAPC2	hPromoter	Hela	NDOR1	hPromoter		
ANAPC2	hPromoter	Hela	TMEM203	hPromoter		
ANAPC2	hPromoter	Hela	LRRC26	hPromoter		
ANAPC2	hPromoter	Hela	TUBB4B	hPromoter		
ANAPC2	hPromoter	K562 & Hela	RNF224	hPromoter		
ANAPC5	hPromoter	Hela	ULK1	hPromoter		
ANAPC5	hPromoter	K562 & Hela	RNF34	hPromoter		
ANGPTL6	hPromoter	Hela	ZNF680	hPromoter		
ANKFY1	hPromoter	Hela	UBE2G1	hPromoter		
